"node_name","corridor_route","corridor_dir","node_lon","node_lat","node_lanes","node_shift","node_s_limit","node_seq_number","node_n_type","node_transition","node_label","node_attach_side","node_active","node_forks","node_pickable","node_station_id","node_above","corridor_name","node_name_seq"
"rnd_87613","I-35E","NB",-93.19583,44.7973,3,6,70,25,NA,NA,"Blackhawk Rd",NA,NA,NA,NA,"S880",NA,"I-35E NB","I-35E NB_0025"
"rnd_86457","I-35W","NB",-93.2748,44.89477,6,7,NA,84,NA,NA,"60th St",NA,NA,NA,NA,"S52",NA,"I-35W NB","I-35W NB_0084"
"rnd_88213","I-394","EB",-93.49132,44.97102,3,6,65,7,NA,NA,"Bushaway Rd",NA,NA,NA,TRUE,"S266",NA,"I-394 EB","I-394 EB_0007"
"rnd_88301","I-394","EB",-93.36201,44.97095,4,7,NA,36,NA,NA,"Colorado Ave",NA,NA,NA,NA,"S278",NA,"I-394 EB","I-394 EB_0036"
"rnd_89279","I-394 Rev","EB",-93.30128,44.96961,2,6,NA,14,NA,NA,"Dunwoody Blvd",NA,NA,NA,NA,"S1130",NA,"I-394 Rev EB","I-394 Rev EB_0014"
"rnd_88413","I-394","WB",-93.36188,44.97117,4,7,NA,43,NA,NA,"Colorado Ave",NA,NA,NA,NA,"S336",NA,"I-394 WB","I-394 WB_0043"
"rnd_88433","I-394","WB",-93.40946,44.97323,4,7,NA,57,NA,NA,"Shelard Pkwy",NA,NA,NA,NA,"S341",NA,"I-394 WB","I-394 WB_0057"
"rnd_88443","I-394","WB",-93.43134,44.97108,3,6,NA,63,NA,NA,"Ridgedale Dr",NA,NA,NA,NA,"S343",NA,"I-394 WB","I-394 WB_0063"
"rnd_89903","I-494","EB",-93.0435,44.87448,3,6,60,190,NA,NA,"7th Ave",NA,NA,NA,TRUE,"S1204",NA,"I-494 EB","I-494 EB_0190"
"rnd_89465","I-494","EB",-93.00248,44.88693,3,6,60,211,NA,NA,"T.H.61",NA,NA,NA,TRUE,"S1022","t","I-494 EB","I-494 EB_0211"
"rnd_89023","I-494","WB",-93.3537,44.8592,3,6,60,129,NA,NA,"T.H.100",NA,NA,NA,TRUE,"S1011",NA,"I-494 WB","I-494 WB_0129"
"rnd_84989","I-494","WB",-93.39967,44.85935,4,7,60,140,NA,NA,"U.S.169",NA,NA,NA,TRUE,"S482",NA,"I-494 WB","I-494 WB_0140"
"rnd_87189","I-694","WB",-93.27712,45.06924,3,7,60,108,NA,NA,"East River Rd",NA,NA,NA,TRUE,"S158",NA,"I-694 WB","I-694 WB_0108"
"rnd_85665","I-94","EB",-93.15644,44.95162,4,8,NA,860,NA,NA,"Hamline Ave",NA,NA,NA,NA,"S777",NA,"I-94 EB","I-94 EB_0860"
"rnd_85695","I-94","EB",-93.09336,44.95357,3,6,NA,882,NA,NA,"Jackson St",NA,NA,NA,NA,"S509",NA,"I-94 EB","I-94 EB_0882"
