"node_name","corridor_route","corridor_dir","node_lon","node_lat","node_lanes","node_shift","node_s_limit","node_seq_number","node_n_type","node_transition","node_label","node_attach_side","node_active","node_forks","node_pickable","node_station_id","node_above","corridor_name","node_name_seq"
"rnd_90759","I-35E CD","NB",-93.22145,44.77529,1,6,NA,3,NA,NA,"T.H.77",NA,NA,NA,NA,"S869",NA,"I-35E CD NB","I-35E CD NB_0003"
"rnd_87593","I-35E CD","NB",-93.21841,44.77724,1,6,NA,4,"Entrance","Loop","T.H.77 SB",NA,NA,NA,NA,NA,NA,"I-35E CD NB","I-35E CD NB_0004"
"rnd_87651","I-35E CD","NB",-93.14534,44.85854,1,6,NA,9,"Exit","Leg","I-494 EB",NA,NA,NA,NA,NA,NA,"I-35E CD NB","I-35E CD NB_0009"
"rnd_91621","I-35E CD","NB",-93.14512,44.85929,1,6,NA,10,NA,NA,"I-494",NA,NA,NA,NA,NA,NA,"I-35E CD NB","I-35E CD NB_0010"
"rnd_91617","I-35E CD","NB",-93.14484,44.86227,1,6,NA,11,"Entrance","Loop","I-494 EB",NA,NA,NA,NA,NA,NA,"I-35E CD NB","I-35E CD NB_0011"
"rnd_87659","I-35E CD","NB",-93.14482,44.86317,1,6,NA,12,"Exit","Loop","I-494 WB",NA,NA,NA,NA,NA,NA,"I-35E CD NB","I-35E CD NB_0012"
"rnd_87665","I-35E CD","NB",-93.14441,44.86593,NA,6,NA,13,"Entrance",NA,"I-494",NA,NA,NA,NA,NA,NA,"I-35E CD NB","I-35E CD NB_0013"
"rnd_91619","I-35E CD","NB",-93.14436,44.86668,1,6,NA,14,"Entrance","Leg","I-494 WB",NA,NA,NA,NA,NA,NA,"I-35E CD NB","I-35E CD NB_0014"
"rnd_91007","I-35E CD","NB",-93.0899,44.95451,1,2,NA,16,"Entrance","Common","I-94 WB","left",NA,NA,NA,NA,NA,"I-35E CD NB","I-35E CD NB_0016"
"rnd_87745","I-35E CD","NB",-93.09041,44.95536,1,4,NA,17,"Entrance","Leg","Broadway St",NA,NA,NA,NA,NA,NA,"I-35E CD NB","I-35E CD NB_0017"
"rnd_87775","I-35E CD","NB",-93.08943,45.02893,1,8,NA,20,"Entrance","Leg","Little Canada Rd",NA,NA,NA,NA,NA,NA,"I-35E CD NB","I-35E CD NB_0020"
"rnd_89045","I-35E CD","NB",-93.0894,45.03054,2,6,NA,21,"Exit","Leg","I-694 WB","left",NA,"rnd_90663",NA,NA,NA,"I-35E CD NB","I-35E CD NB_0021"
"rnd_91090","I-35E CD","NB",-93.08751,45.03367,1,7,NA,22,NA,NA,"I-694",NA,NA,NA,NA,NA,NA,"I-35E CD NB","I-35E CD NB_0022"
"rnd_95286","I-35E CD","SB",-93.08339,44.95249,1,6,NA,8,"Exit","Common","T.H.52 SB","left",NA,NA,NA,NA,NA,"I-35E CD SB","I-35E CD SB_0008"
"rnd_91633","I-35E CD","SB",-93.14789,44.86228,1,4,NA,10,"Entrance","Common","I-494 WB",NA,NA,NA,NA,NA,NA,"I-35E CD SB","I-35E CD SB_0010"
"rnd_91629","I-35E CD","SB",-93.14789,44.861,1,4,NA,11,"Entrance","Leg","I-494 EB",NA,NA,NA,NA,NA,NA,"I-35E CD SB","I-35E CD SB_0011"
"rnd_86885","I-35E CD","SB",-93.21669,44.77918,1,7,NA,15,"Entrance","Loop","T.H.77 NB",NA,NA,NA,NA,NA,NA,"I-35E CD SB","I-35E CD SB_0015"
"rnd_88629","I-35E CD","SB",-93.22138,44.77622,1,7,NA,17,NA,"CD","T.H.77",NA,NA,NA,NA,NA,NA,"I-35E CD SB","I-35E CD SB_0017"
"rnd_86889","I-35E CD","SB",-93.22146,44.77617,1,7,NA,18,"Entrance","Leg","T.H.77 SB",NA,NA,NA,NA,NA,NA,"I-35E CD SB","I-35E CD SB_0018"
"rnd_87589","I-35E","NB",-93.24327,44.76192,1,5,NA,13,"Entrance","Leg","Co Rd 11",NA,NA,NA,TRUE,NA,NA,"I-35E NB","I-35E NB_0013"
"rnd_87603","I-35E","NB",-93.20706,44.78509,3,6,70,20,NA,NA,"S of Cliff Rd",NA,NA,NA,NA,"S878",NA,"I-35E NB","I-35E NB_0020"
"rnd_87605","I-35E","NB",-93.20461,44.7871,1,6,NA,21,"Exit","Leg","Cliff Rd",NA,NA,NA,TRUE,NA,NA,"I-35E NB","I-35E NB_0021"
"rnd_87609","I-35E","NB",-93.19844,44.79387,1,6,NA,24,"Entrance","Leg","Cliff Rd",NA,NA,NA,TRUE,NA,NA,"I-35E NB","I-35E NB_0024"
"rnd_87613","I-35E","NB",-93.19583,44.7973,3,6,70,25,NA,NA,"Blackhawk Rd",NA,NA,NA,NA,"S880",NA,"I-35E NB","I-35E NB_0025"
"rnd_87615","I-35E","NB",-93.19329,44.80063,1,6,NA,26,"Exit","Leg","Diffley Rd",NA,NA,NA,TRUE,NA,NA,"I-35E NB","I-35E NB_0026"
"rnd_87619","I-35E","NB",-93.18687,44.80888,1,6,NA,28,"Entrance","Leg","Diffley Rd",NA,NA,NA,TRUE,NA,NA,"I-35E NB","I-35E NB_0028"
"rnd_87627","I-35E","NB",-93.17154,44.82553,1,6,NA,36,"Exit","Leg","Pilot Knob Rd",NA,NA,NA,TRUE,NA,NA,"I-35E NB","I-35E NB_0036"
"rnd_87631","I-35E","NB",-93.1638,44.83323,1,7,NA,40,"Entrance","Leg","Pilot Knob Rd",NA,NA,NA,TRUE,NA,NA,"I-35E NB","I-35E NB_0040"
"rnd_87637","I-35E","NB",-93.16111,44.83687,1,7,NA,42,"Entrance","Loop","Yankee Doodle Rd EB",NA,NA,NA,NA,NA,NA,"I-35E NB","I-35E NB_0042"
"rnd_87639","I-35E","NB",-93.15945,44.83911,1,7,NA,43,"Entrance","Leg","Yankee Doodle Rd WB",NA,NA,NA,NA,NA,NA,"I-35E NB","I-35E NB_0043"
"rnd_87643","I-35E","NB",-93.15572,44.84413,1,7,NA,45,"Exit","Leg","Lone Oak Rd",NA,NA,NA,TRUE,NA,NA,"I-35E NB","I-35E NB_0045"
"rnd_87647","I-35E","NB",-93.14993,44.85183,1,7,NA,47,"Entrance","Leg","Lone Oak Rd",NA,NA,NA,TRUE,NA,NA,"I-35E NB","I-35E NB_0047"
"rnd_87657","I-35E","NB",-93.14543,44.86076,3,6,70,51,NA,NA,"I-494",NA,NA,NA,TRUE,"S826",NA,"I-35E NB","I-35E NB_0051"
"rnd_87669","I-35E","NB",-93.1402,44.88141,3,6,NA,56,NA,NA,"T.H.110",NA,NA,NA,TRUE,"S828",NA,"I-35E NB","I-35E NB_0056"
"rnd_87671","I-35E","NB",-93.13676,44.88514,1,5,NA,58,"Exit","Leg","T.H.110",NA,NA,NA,TRUE,NA,NA,"I-35E NB","I-35E NB_0058"
"rnd_87673","I-35E","NB",-93.13347,44.88712,1,5,NA,59,"Entrance","Leg","T.H.110",NA,NA,NA,TRUE,NA,NA,"I-35E NB","I-35E NB_0059"
"rnd_87675","I-35E","NB",-93.13195,44.88866,2,5,NA,60,NA,NA,"Marie Ave",NA,NA,NA,NA,"S829",NA,"I-35E NB","I-35E NB_0060"
"rnd_87679","I-35E","NB",-93.13338,44.89812,1,5,NA,64,"Exit","Leg","T.H.13",NA,NA,NA,TRUE,NA,NA,"I-35E NB","I-35E NB_0064"
"rnd_89579","I-35E","NB",-93.13586,44.90113,1,6,NA,66,"Entrance","Loop","T.H.13",NA,NA,NA,TRUE,NA,NA,"I-35E NB","I-35E NB_0066"
"rnd_89581","I-35E","NB",-93.14292,44.90924,1,5,NA,68,"Exit","Leg","Shepard Rd",NA,NA,NA,TRUE,NA,NA,"I-35E NB","I-35E NB_0068"
"rnd_87683","I-35E","NB",-93.1431,44.90956,3,6,NA,69,NA,NA,"Shepard Rd",NA,NA,NA,TRUE,"S832",NA,"I-35E NB","I-35E NB_0069"
"rnd_87685","I-35E","NB",-93.14416,44.91371,1,5,NA,71,"Exit","Leg","W. 7th St",NA,NA,NA,TRUE,NA,NA,"I-35E NB","I-35E NB_0071"
"rnd_87687","I-35E","NB",-93.14421,44.91509,2,5,NA,72,NA,NA,"W. 7th St",NA,NA,NA,TRUE,"S833",NA,"I-35E NB","I-35E NB_0072"
"rnd_87689","I-35E","NB",-93.14423,44.91529,1,5,NA,73,"Entrance","Loop","W. 7th St",NA,NA,NA,NA,NA,NA,"I-35E NB","I-35E NB_0073"
"rnd_87691","I-35E","NB",-93.14483,44.92389,1,5,NA,74,"Exit","Leg","Randolph Ave",NA,NA,NA,TRUE,NA,NA,"I-35E NB","I-35E NB_0074"
"rnd_88609","I-35E","NB",-93.1448,44.92658,1,5,NA,76,"Exit","Leg","Ayd Mill Rd",NA,NA,NA,TRUE,NA,NA,"I-35E NB","I-35E NB_0076"
"rnd_87697","I-35E","NB",-93.14189,44.93014,1,5,NA,79,"Entrance","Leg","Randolph Ave",NA,NA,NA,NA,NA,NA,"I-35E NB","I-35E NB_0079"
"rnd_87701","I-35E","NB",-93.13294,44.93144,1,5,NA,82,"Entrance","Leg","Victoria St",NA,NA,NA,NA,NA,NA,"I-35E NB","I-35E NB_0082"
"rnd_87703","I-35E","NB",-93.12549,44.93497,2,5,45,84,NA,NA,"St. Clair Ave",NA,NA,NA,NA,"S837",NA,"I-35E NB","I-35E NB_0084"
"rnd_87705","I-35E","NB",-93.12397,44.93596,1,5,NA,85,"Entrance","Leg","St. Clair Ave",NA,NA,NA,NA,NA,NA,"I-35E NB","I-35E NB_0085"
"rnd_87707","I-35E","NB",-93.11587,44.93975,1,5,NA,88,"Exit","Leg","Grand Ave",NA,NA,NA,TRUE,NA,NA,"I-35E NB","I-35E NB_0088"
"rnd_87709","I-35E","NB",-93.11547,44.93991,2,5,45,89,NA,NA,"Grand Ave",NA,NA,NA,TRUE,"S838",NA,"I-35E NB","I-35E NB_0089"
"rnd_87711","I-35E","NB",-93.10691,44.94491,1,5,NA,92,"Exit","Leg","Kellogg Blvd",NA,NA,NA,TRUE,NA,NA,"I-35E NB","I-35E NB_0092"
"rnd_88543","I-35E","NB",-93.10249,44.94841,1,5,NA,94,"Exit","Leg","St. Peter St",NA,NA,NA,NA,NA,NA,"I-35E NB","I-35E NB_0094"
"rnd_87715","I-35E","NB",-93.1021,44.94914,1,5,NA,95,"Exit","Leg","N Jct I-94 EB",NA,NA,"rnd_90821",NA,NA,NA,"I-35E NB","I-35E NB_0095"
"rnd_87717","I-35E","NB",-93.10179,44.94958,2,5,NA,96,NA,NA,"I-94",NA,NA,NA,TRUE,"S619",NA,"I-35E NB","I-35E NB_0096"
"rnd_87723","I-35E","NB",-93.09311,44.95385,2,5,NA,100,NA,NA,"Jackson St",NA,NA,NA,NA,"S620",NA,"I-35E NB","I-35E NB_0100"
"rnd_87725","I-35E","NB",-93.09113,44.95496,1,6,NA,101,"Entrance","Leg","Jackson St",NA,NA,NA,NA,NA,NA,"I-35E NB","I-35E NB_0101"
"rnd_1908","I-35E","NB",-93.09052,44.96612,1,7,NA,107,"Exit",NA,"Cayuga St",NA,FALSE,NA,NA,NA,NA,"I-35E NB","I-35E NB_0107"
"rnd_1901","I-35E","NB",-93.09045,44.96653,1,7,NA,108,"Entrance",NA,"Cayuga St",NA,FALSE,NA,NA,NA,NA,"I-35E NB","I-35E NB_0108"
"rnd_87735","I-35E","NB",-93.08847,44.97448,1,6,NA,110,"Exit","Leg","Maryland Ave",NA,NA,NA,TRUE,NA,NA,"I-35E NB","I-35E NB_0110"
"rnd_87739","I-35E","NB",-93.08863,44.97998,1,6,NA,112,"Entrance","Leg","Maryland Ave",NA,NA,NA,TRUE,NA,NA,"I-35E NB","I-35E NB_0112"
"rnd_87741","I-35E","NB",-93.08887,44.98666,1,6,NA,113,"Exit","Leg","Wheelock Pkwy",NA,NA,NA,TRUE,NA,NA,"I-35E NB","I-35E NB_0113"
"rnd_87751","I-35E","NB",-93.08921,44.99469,1,6,NA,116,"Entrance","Leg","Larpenteur Ave",NA,NA,NA,TRUE,NA,NA,"I-35E NB","I-35E NB_0116"
